"","...1","outcome","subgroup","class","RR","RRlow","RRhigh","P_val_overall"
"1",1,"All-cause","total","total",1.014406,1.0136928,1.015121,0
"2",2,"Substance use","total","total",1.012368,1.0101022,1.01464,0
"3",3,"Schizophrenia","total","total",1.037365,1.034633,1.040104,0
"4",4,"Bipolar affective disorder","total","total",1.015863,1.0101777,1.02158,0
"5",5,"Depression","total","total",1.026378,1.0236393,1.029123,0
"6",6,"Anxiety","total","total",1.029685,1.0268317,1.032547,0
"7",7,"Other","total","total",1.020173,1.0189211,1.021427,0
"8",8,"Unspecified","total","total",1.001354,0.9995954,1.003115,0
"9",9,"All-cause","sex","female",1.01168506627454,1.01062688849229,1.01274435202279,0
"10",10,"Substance use","sex","female",1.01236843322446,1.01010221002181,1.014639740831,0.1852
"11",11,"Schizophrenia","sex","female",1.05037841146196,1.0456108538978,1.05516770713744,0
"12",12,"Bipolar affective disorder","sex","female",1.01669432643026,1.00890772250474,1.02454102623902,0.7607
"13",13,"Depression","sex","female",1.0214780028299,1.01798456153254,1.02498343265101,0
"14",14,"Anxiety","sex","female",1.02734731171994,1.02362236786769,1.03108581057757,2e-04
"15",15,"Other","sex","female",1.01743057093679,1.01525994626598,1.01960583640081,0
"16",16,"Unspecified","sex","female",0.999420888498937,0.996910651512261,1.00193744630255,0
"17",17,"All-cause","sex","male",1.01765201642402,1.01667980895597,1.01862515357254,0
"18",18,"Substance use","sex","male",1.01541146789911,1.01272554674022,1.01810451257977,0.1852
"19",19,"Schizophrenia","sex","male",1.03084501838392,1.02750442714484,1.03419647045194,0
"20",20,"Bipolar affective disorder","sex","male",1.0158839955636,1.00755186659324,1.02428502855318,0.7607
"21",21,"Depression","sex","male",1.03411874547257,1.02971474365931,1.03854158282459,0
"22",22,"Anxiety","sex","male",1.03314470198253,1.02871264078725,1.0375958580792,2e-04
"23",23,"Other","sex","male",1.02186842122184,1.02033302456628,1.02340612834156,0
"24",24,"Unspecified","sex","male",1.00328429113194,1.00081521511017,1.00575945852434,0
"25",25,"All-cause","built-up ratio","low",1.00839896080804,1.00759333167761,1.00920523408554,0
"26",26,"Substance use","built-up ratio","low",1.00468560755094,1.00206521068369,1.00731285674643,0
"27",27,"Schizophrenia","built-up ratio","low",1.01467077656974,1.01147973391184,1.01787188641229,0
"28",28,"Bipolar affective disorder","built-up ratio","low",1.01091558461638,1.00396906412647,1.01791016848656,0
"29",29,"Depression","built-up ratio","low",1.02765463875424,1.02427940180571,1.03104099788725,0
"30",30,"Anxiety","built-up ratio","low",1.01959740572899,1.01608052863115,1.02312645550821,0
"31",31,"Other","built-up ratio","low",1.01274368536631,1.01134002391015,1.01414929499563,0
"32",32,"Unspecified","built-up ratio","low",1.00122470885946,0.999360119674475,1.00309277696336,0
"33",33,"All-cause","built-up ratio","medium",1.04701967319919,1.04493203216501,1.04911148507411,0
"34",34,"Substance use","built-up ratio","medium",1.03957988584494,1.0340480754054,1.04514128961525,0
"35",35,"Schizophrenia","built-up ratio","medium",1.10037935823978,1.09281223084142,1.1079988838594,0
"36",36,"Bipolar affective disorder","built-up ratio","medium",1.01772806154548,1.00539484761061,1.0302125674492,0
"37",37,"Depression","built-up ratio","medium",1.02250448389179,1.01657858047204,1.02846493095824,0
"38",38,"Anxiety","built-up ratio","medium",1.06348607553619,1.05662524529967,1.07039145419869,0
"39",39,"Other","built-up ratio","medium",1.06648166502138,1.06263225470383,1.07034501991829,0
"40",40,"Unspecified","built-up ratio","medium",1.01579547310939,1.00834184767168,1.02330419546913,0
"41",41,"All-cause","built-up ratio","high",1.04201830578852,1.03916475443457,1.04487969300804,0
"42",42,"Substance use","built-up ratio","high",1.0263751213825,1.01786656377861,1.03495480378316,0
"43",43,"Schizophrenia","built-up ratio","high",1.15224306723359,1.14161432690505,1.16297076402957,0
"44",44,"Bipolar affective disorder","built-up ratio","high",1.0873942494877,1.06145210555238,1.11397042564025,0
"45",45,"Depression","built-up ratio","high",1.0422271372189,1.03335331916838,1.05117715829247,0
"46",46,"Anxiety","built-up ratio","high",1.04571863774659,1.03787515026751,1.05362140046298,0
"47",47,"Other","built-up ratio","high",1.04157218410157,1.03663909504194,1.04652874841676,0
"48",48,"Unspecified","built-up ratio","high",0.988993411289621,0.97894097650906,0.99914907133855,0
"49",49,"All-cause","GDP","low",1.11234316018745,1.10998198608309,1.11470935702481,0
"50",50,"Substance use","GDP","low",1.0544014712147,1.04807920256861,1.06076187732285,0
"51",51,"Schizophrenia","GDP","low",1.16081826371882,1.15290677254268,1.16878404522798,0
"52",52,"Bipolar affective disorder","GDP","low",1.074790923591,1.06111102082933,1.0886471884259,0
"53",53,"Depression","GDP","low",1.10028186261759,1.09209527762361,1.10852981604274,0
"54",54,"Anxiety","GDP","low",1.15007356334318,1.14191057410877,1.15829490600276,0
"55",55,"Other","GDP","low",1.12773641813203,1.12404564474671,1.13143931007166,0
"56",56,"Unspecified","GDP","low",1.08899899190394,1.07701129789763,1.10112011515829,0
"57",57,"All-cause","GDP","medium",0.998481086517055,0.996373386994666,1.00059324460622,0
"58",58,"Substance use","GDP","medium",1.00763679018368,1.00198629781106,1.01331914732743,0
"59",59,"Schizophrenia","GDP","medium",1.02470687757965,1.01830654293734,1.03114744007262,0
"60",60,"Bipolar affective disorder","GDP","medium",1.00142545712088,0.987351830582002,1.01569968790014,0
"61",61,"Depression","GDP","medium",1.00079633230472,0.994479321184475,1.00715346957805,0
"62",62,"Anxiety","GDP","medium",1.01619645922162,1.00874026685098,1.0237077646937,0
"63",63,"Other","GDP","medium",1.00278904382707,0.999327398551868,1.00626268015549,0
"64",64,"Unspecified","GDP","medium",0.992858747342224,0.978613324940245,1.00731153669317,0
"65",65,"All-cause","GDP","high",1.00415617063662,1.00331677173772,1.00499627179678,0
"66",66,"Substance use","GDP","high",1.00469890101756,1.00195811406192,1.0074471852059,0
"67",67,"Schizophrenia","GDP","high",1.01442061458489,1.01092681249419,1.01792649139049,0
"68",68,"Bipolar affective disorder","GDP","high",0.996052071518354,0.988853153209804,1.00330339844253,0
"69",69,"Depression","GDP","high",1.02392078861963,1.02052435799256,1.02732852298572,0
"70",70,"Anxiety","GDP","high",1.01036083904243,1.00686818382063,1.01386560969374,0
"71",71,"Other","GDP","high",1.00378990935855,1.0022583960211,1.0053237629439,0
"72",72,"Unspecified","GDP","high",0.999298147001721,0.997475964195389,1.00112365856012,0
"73",73,"All-cause","country","AUS",1.00763915596148,1.00073445658211,1.01459149522496,0
"74",74,"Substance use","country","AUS",1.00306503543582,0.986370354166654,1.02004228032979,0
"75",75,"Schizophrenia","country","AUS",0.880723042305307,0.798189484265544,0.971790649386033,0
"76",76,"Bipolar affective disorder","country","AUS",0.909712769869138,0.718390348669724,1.15198836565029,0
"77",77,"Depression","country","AUS",0.988033088538928,0.957990910735381,1.01901737595653,0
"78",78,"Anxiety","country","AUS",1.00748182196797,0.988542049832978,1.02678446684933,0
"79",79,"Other","country","AUS",0.979405867619037,0.93840616956383,1.02219687448608,0
"80",80,"Unspecified","country","AUS",1.01084548032132,1.00069461437769,1.02109931482092,0
"81",81,"All-cause","country","BRA",1.08329530343661,1.08202471475549,1.08456738413134,0
"82",82,"Substance use","country","BRA",1.04877801695657,1.04559405317082,1.0519716763076,0
"83",83,"Schizophrenia","country","BRA",1.1084158001317,1.10435028370993,1.1124962832031,0
"84",84,"Bipolar affective disorder","country","BRA",1.05218973523891,1.04501715467747,1.05941154552991,0
"85",85,"Depression","country","BRA",1.09631743317311,1.09199088850213,1.10066111991824,0
"86",86,"Anxiety","country","BRA",1.12337322729571,1.11823602646559,1.12853402853911,0
"87",87,"Other","country","BRA",1.07653634788106,1.07466206029415,1.07841390435973,0
"88",88,"Unspecified","country","BRA",1.1181368245031,1.11062032653081,1.12570419291277,0
"89",89,"All-cause","country","CAN",0.999730521189443,0.998685615192991,1.00077652045141,0
"90",90,"Substance use","country","CAN",1.00219042370332,0.99802551183346,1.00637271638226,0
"91",91,"Schizophrenia","country","CAN",1.00085076198515,0.995783690687805,1.00594361720704,0
"92",92,"Bipolar affective disorder","country","CAN",0.984879099215069,0.970271157235317,0.999706971435241,0
"93",93,"Depression","country","CAN",0.998839055023658,0.994331663963719,1.00336687847543,0
"94",94,"Anxiety","country","CAN",0.997027488876297,0.992879841400043,1.00119246269847,0
"95",95,"Other","country","CAN",1.0026904263693,1.00051493010864,1.00487065297815,0
"96",96,"Unspecified","country","CAN",0.99699222330447,0.995051198147082,0.998937034778249,0
"97",97,"All-cause","nonfire","low",0.996139625102151,0.995164832322378,0.997115372719689,0
"98",98,"Substance use","nonfire","low",1.00076516956255,0.997086161284846,1.00445775249652,0
"99",99,"Schizophrenia","nonfire","low",0.997222584808399,0.992887429796976,1.00157666801692,0
"100",100,"Bipolar affective disorder","nonfire","low",0.987024288765773,0.974926695687878,0.999271997497414,0
"101",101,"Depression","nonfire","low",0.995366944458774,0.991488370660864,0.999260690733893,0
"102",102,"Anxiety","nonfire","low",0.997821012799615,0.993995413779958,1.00166133543636,0
"103",103,"Other","nonfire","low",0.991405989185604,0.989445769186095,0.993370092634379,0
"104",104,"Unspecified","nonfire","low",0.996918027111567,0.99502593592344,0.998813716204969,0
