"","group","estimate","estimate_low","estimate_high","class","outcome","Pval"
"1","fire",1.01440643451412,1.01369278981887,1.01512058161874,"RR","All-cause",0
"2","nonfire",1.01816853063616,1.01752980844813,1.01880765376186,"RR","All-cause",0
"3","fire",15.27,15.49,15.05,"AF","All-cause",0
"4","nonfire",12.283,12.671,11.882,"AF","All-cause",0
"5","fire",1.01236843322446,1.01010221002181,1.014639740831,"RR","Substance use",0
"6","nonfire",1.0087205017211,1.00707591647708,1.01036777262227,"RR","Substance use",0
"7","fire",8.44,9.19,7.68,"AF","Substance use",0.0338
"8","nonfire",6.769,7.974,5.531,"AF","Substance use",0.0338
"9","fire",1.03736480432101,1.03463300139291,1.04010382019053,"RR","Schizophrenia",0
"10","nonfire",1.0378629783971,1.0354794972643,1.04025194585999,"RR","Schizophrenia",0
"11","fire",21.4,22.09,20.46,"AF","Schizophrenia",0.0023
"12","nonfire",23.703,24.997,22.466,"AF","Schizophrenia",0.0023
"13","fire",1.01586293398313,1.0101776776373,1.02158018681871,"RR","Bipolar affective disorder",0
"14","nonfire",1.00939372687324,1.00508085349301,1.0137251070997,"RR","Bipolar affective disorder",0
"15","fire",12.19,14.18,9.57,"AF","Bipolar affective disorder",0.0502
"16","nonfire",7.185,10.42,3.901,"AF","Bipolar affective disorder",0.0502
"17","fire",1.02637758162488,1.02363932355099,1.02912316460034,"RR","Depression",0
"18","nonfire",1.00793070932155,1.00602224874822,1.00984279031357,"RR","Depression",0
"19","fire",10.35,11.02,9.63,"AF","Depression",0
"20","nonfire",6.114,7.497,4.662,"AF","Depression",0
"21","fire",1.02968537851239,1.02683166963371,1.03254701824732,"RR","Anxiety",0
"22","nonfire",1.01255305728167,1.01047473109451,1.01463565813261,"RR","Anxiety",0
"23","fire",11.61,12.24,10.94,"AF","Anxiety",0.0083
"24","nonfire",9.29,10.709,7.843,"AF","Anxiety",0.0083
"25","fire",1.02017342679629,1.01892108005076,1.02142731278996,"RR","Other",0
"26","nonfire",1.03546187927734,1.03429702638351,1.03662804405957,"RR","Other",0
"27","fire",14.02,14.42,13.61,"AF","Other",0
"28","nonfire",21.307,21.927,20.707,"AF","Other",0
"29","fire",1.00135371786796,0.99959544431467,1.00311508419833,"RR","Unspecified",0
"30","nonfire",1.01251016747863,1.00997260076516,1.01505410985498,"RR","Unspecified",0
"31","fire",18.07,19.25,16.82,"AF","Unspecified",NA
"32","nonfire",7.683,9.179,6.181,"AF","Unspecified",NA
